prompt_id,category,technique,downstream_model,optimizer_model,live,orig_tokens,opt_tokens,tokens_saved,token_reduction_pct,optimizer_overhead_tokens,energy_wh_before,energy_wh_after,energy_wh_optimizer,energy_saved_wh,energy_reduction_pct,cost_usd_before,cost_usd_after,cost_saved_usd,gco2e_saved,quality_score
cv_data,short,llm_rewrite,gpt-4o-mini,gpt-4o-mini,False,23,11,12,52.174,82,0.034190765082574986,0.03407751937984496,0.0015005055611729018,0.00011324570273002488,0.331,0.00027345,0.00027164999999999996,1.8000000000000438e-06,4.5298281092008216e-05,0.952
cv_data,short,agentic,gpt-4o-mini,gpt-4o-mini,False,23,11,12,52.174,223,0.034190765082574986,0.03407751937984496,0.004152342433434445,0.00011324570273002488,0.331,0.00027345,0.00027164999999999996,1.8000000000000438e-06,4.5298281092008216e-05,0.952
cv_data,short,baseline,gpt-4.1-mini,gpt-4o-mini,False,23,23,0,0.0,0,0.04273845635321874,0.04273845635321874,0.0,0.0,0.0,0.0007292,0.0007292,0.0,0.0,1.0
cv_data,short,rule_based,gpt-4.1-mini,gpt-4o-mini,False,23,22,1,4.348,0,0.04273845635321874,0.04272665992585103,0.0,1.1796427367712081e-05,0.028,0.0007292,0.0007287999999999999,4.0000000000011814e-07,4.718570947085526e-06,1.0
cv_data,short,llm_rewrite,gpt-4.1-mini,gpt-4o-mini,False,23,11,12,52.174,82,0.04273845635321874,0.0425968992248062,0.0015005055611729018,0.00014155712841253804,0.331,0.0007292,0.0007243999999999999,4.800000000000117e-06,5.662285136501591e-05,0.952
cv_data,short,agentic,gpt-4.1-mini,gpt-4o-mini,False,23,11,12,52.174,223,0.04273845635321874,0.0425968992248062,0.004152342433434445,0.00014155712841253804,0.331,0.0007292,0.0007243999999999999,4.800000000000117e-06,5.662285136501591e-05,0.952
cv_data,short,baseline,gpt-3.5-turbo,gpt-4o-mini,False,24,24,0,0.0,0,0.0855005055611729,0.0855005055611729,0.0,0.0,0.0,0.000687,0.000687,0.0,0.0,1.0
cv_data,short,rule_based,gpt-3.5-turbo,gpt-4o-mini,False,24,23,1,4.167,0,0.0855005055611729,0.08547691270643748,0.0,2.3592854735424162e-05,0.028,0.000687,0.0006865,4.999999999999579e-07,9.437141894164114e-06,1.0
cv_data,short,llm_rewrite,gpt-3.5-turbo,gpt-4o-mini,False,24,11,13,54.167,82,0.0855005055611729,0.0851937984496124,0.0015005055611729018,0.00030670711156050023,0.359,0.000687,0.0006805,6.499999999999995e-06,0.00012268284462419593,0.952
cv_data,short,agentic,gpt-3.5-turbo,gpt-4o-mini,False,24,11,13,54.167,223,0.0855005055611729,0.0851937984496124,0.004152342433434445,0.00030670711156050023,0.359,0.000687,0.0006805,6.499999999999995e-06,0.00012268284462419593,0.952
email_followup,short,baseline,gpt-4o,gpt-4o-mini,False,23,23,0,0.0,0,0.17095382541287496,0.17095382541287496,0.0,0.0,0.0,0.0045575,0.0045575,0.0,0.0,1.0
